frame,body_landmark,x,y,z,visibility,hand_label
2,RIGHT_EYE,0.390178,0.626738,-0.914813,0.99996,N/A
2,RIGHT_EYE_OUTER,0.37423,0.629476,-0.915108,0.999959,N/A
2,LEFT_EAR,0.528395,0.66522,-0.56891,0.99998,N/A
2,RIGHT_EAR,0.353847,0.668364,-0.514143,0.999963,N/A
2,MOUTH_LEFT,0.470825,0.763344,-0.842489,0.999967,N/A
2,MOUTH_RIGHT,0.404102,0.75775,-0.828942,0.999965,N/A
2,LEFT_SHOULDER,0.625512,0.964917,-0.354124,0.998898,N/A
2,RIGHT_SHOULDER,0.257013,0.954805,-0.275435,0.99779,N/A
2,LEFT_ELBOW,0.759425,1.339661,-0.911981,0.647613,N/A
2,RIGHT_ELBOW,0.120699,1.35875,-0.77414,0.680351,N/A
2,LEFT_WRIST,0.729432,1.020857,-1.503396,0.974633,N/A
2,RIGHT_WRIST,0.138609,1.07259,-1.534952,0.973503,N/A
2,LEFT_PINKY,0.748591,0.901907,-1.585889,0.966555,N/A
2,RIGHT_PINKY,0.145852,0.957212,-1.651018,0.95901,N/A
2,LEFT_INDEX,0.723506,0.875386,-1.500671,0.973718,N/A
2,RIGHT_INDEX,0.170657,0.903248,-1.573641,0.968264,N/A
2,LEFT_THUMB,0.705823,0.934853,-1.484287,0.964069,N/A
2,RIGHT_THUMB,0.178934,0.966218,-1.52843,0.960353,N/A
2,LEFT_HIP,0.563632,1.678037,-0.044112,0.001521,N/A
2,RIGHT_HIP,0.309265,1.67836,0.048276,0.001496,N/A
2,LEFT_KNEE,0.576212,2.229211,-0.24371,0.003282,N/A
2,RIGHT_KNEE,0.348306,2.223749,-0.284325,0.001403,N/A
2,LEFT_ANKLE,0.607783,2.739064,0.105761,3.6e-05,N/A
2,RIGHT_ANKLE,0.380362,2.735504,-0.114974,1.7e-05,N/A
2,LEFT_HEEL,0.612811,2.820457,0.112519,1.7e-05,N/A
2,RIGHT_HEEL,0.380375,2.817251,-0.113025,1.3e-05,N/A
2,LEFT_FOOT_INDEX,0.582601,2.895661,-0.39522,0.000121,N/A
2,RIGHT_FOOT_INDEX,0.413717,2.883289,-0.640091,0.000148,N/A
2,HAND_0,0.681275,1.11928,1e-06,0.0,Right
2,HAND_1,0.626503,1.084762,-0.040551,0.0,Right
2,HAND_2,0.58992,1.021126,-0.066641,0.0,Right
2,HAND_3,0.56453,0.957419,-0.087705,0.0,Right
2,HAND_4,0.534348,0.898458,-0.1099,0.0,Right
2,HAND_5,0.637902,0.913775,-0.063674,0.0,Right
2,HAND_6,0.628253,0.813648,-0.096426,0.0,Right
2,HAND_7,0.620468,0.749227,-0.117972,0.0,Right
2,HAND_8,0.615315,0.693196,-0.13332,0.0,Right
2,HAND_9,0.687092,0.917638,-0.066025,0.0,Right
2,HAND_10,0.697643,0.807769,-0.097102,0.0,Right
2,HAND_11,0.701143,0.734833,-0.118875,0.0,Right
2,HAND_12,0.703556,0.671148,-0.13451,0.0,Right
2,HAND_13,0.729547,0.945985,-0.071543,0.0,Right
2,HAND_14,0.750496,0.847206,-0.1059,0.0,Right
2,HAND_15,0.757868,0.778562,-0.126356,0.0,Right
2,HAND_16,0.762246,0.715048,-0.14007,0.0,Right
2,HAND_17,0.766823,0.991585,-0.07908,0.0,Right
2,HAND_18,0.804855,0.929061,-0.112537,0.0,Right
2,HAND_19,0.826469,0.881387,-0.127255,0.0,Right
2,HAND_20,0.842501,0.831752,-0.136389,0.0,Right
2,HAND_0,0.176017,1.113955,1e-06,0.0,Left
2,HAND_1,0.234862,1.072605,-0.034839,0.0,Left
2,HAND_2,0.278831,1.001674,-0.055179,0.0,Left
2,HAND_3,0.310716,0.937046,-0.072462,0.0,Left
2,HAND_4,0.340217,0.878178,-0.09091,0.0,Left
2,HAND_5,0.228196,0.896972,-0.050637,0.0,Left
2,HAND_6,0.247173,0.795805,-0.081172,0.0,Left
2,HAND_7,0.258597,0.731985,-0.101989,0.0,Left
2,HAND_8,0.26707,0.67726,-0.116674,0.0,Left
2,HAND_9,0.182391,0.894642,-0.054106,0.0,Left
2,HAND_10,0.190048,0.787312,-0.08236,0.0,Left
2,HAND_11,0.191873,0.71377,-0.103935,0.0,Left
2,HAND_12,0.192897,0.650232,-0.120086,0.0,Left
2,HAND_13,0.138992,0.918847,-0.060729,0.0,Left
2,HAND_14,0.131383,0.820862,-0.089544,0.0,Left
2,HAND_15,0.126891,0.753268,-0.109517,0.0,Left
2,HAND_16,0.126853,0.693906,-0.123718,0.0,Left
2,HAND_17,0.099847,0.964204,-0.069683,0.0,Left
2,HAND_18,0.067224,0.901308,-0.099696,0.0,Left
2,HAND_19,0.047609,0.854617,-0.114862,0.0,Left
2,HAND_20,0.033207,0.805896,-0.124468,0.0,Left
3,NOSE,0.43486,0.683784,-0.975475,0.999978,N/A
3,LEFT_EYE_INNER,0.467589,0.626702,-0.926252,0.999972,N/A
3,LEFT_EYE,0.485549,0.628345,-0.926393,0.999968,N/A
3,LEFT_EYE_OUTER,0.501307,0.631017,-0.926244,0.999966,N/A
3,RIGHT_EYE_INNER,0.409032,0.626289,-0.912669,0.999964,N/A
3,RIGHT_EYE,0.389343,0.629248,-0.912788,0.999953,N/A
3,RIGHT_EYE_OUTER,0.37383,0.632439,-0.913064,0.999953,N/A
3,LEFT_EAR,0.527625,0.66527,-0.583365,0.999974,N/A
3,RIGHT_EAR,0.353888,0.67103,-0.514772,0.999956,N/A
3,MOUTH_LEFT,0.469936,0.761938,-0.843887,0.999954,N/A
3,MOUTH_RIGHT,0.403037,0.757259,-0.826514,0.999952,N/A
3,LEFT_SHOULDER,0.630837,0.964858,-0.412009,0.998305,N/A
3,RIGHT_SHOULDER,0.258508,0.955605,-0.287499,0.996843,N/A
3,LEFT_ELBOW,0.775985,1.315572,-1.042766,0.639634,N/A
3,RIGHT_ELBOW,0.11175,1.353896,-0.896876,0.661306,N/A
3,LEFT_WRIST,0.737578,1.023731,-1.682832,0.967784,N/A
3,RIGHT_WRIST,0.135792,1.069373,-1.772795,0.964751,N/A
3,LEFT_PINKY,0.761863,0.93627,-1.796057,0.960357,N/A
3,RIGHT_PINKY,0.143703,0.960806,-1.915017,0.950473,N/A
3,LEFT_INDEX,0.745629,0.895749,-1.706931,0.969114,N/A
3,RIGHT_INDEX,0.170662,0.903832,-1.834558,0.961786,N/A
3,LEFT_THUMB,0.725865,0.941448,-1.667182,0.957248,N/A
3,RIGHT_THUMB,0.177436,0.970535,-1.771368,0.952292,N/A
3,LEFT_HIP,0.567039,1.688139,-0.080403,0.001828,N/A
3,RIGHT_HIP,0.314657,1.688105,0.08447,0.001865,N/A
3,LEFT_KNEE,0.580386,2.129536,-0.27547,0.003529,N/A
3,RIGHT_KNEE,0.337625,2.187215,-0.220308,0.001485,N/A
3,LEFT_ANKLE,0.610549,2.692112,0.170312,4e-05,N/A
3,RIGHT_ANKLE,0.389937,2.694674,0.111585,2e-05,N/A
3,LEFT_HEEL,0.616937,2.788321,0.192154,1.8e-05,N/A
3,RIGHT_HEEL,0.396663,2.773227,0.135512,1.6e-05,N/A
3,LEFT_FOOT_INDEX,0.582605,2.847402,-0.273912,0.000135,N/A
3,RIGHT_FOOT_INDEX,0.414475,2.844584,-0.316624,0.000175,N/A
3,HAND_0,0.689988,1.124577,1e-06,0.0,Right
3,HAND_1,0.631085,1.090336,-0.04737,0.0,Right
3,HAND_2,0.595557,1.021901,-0.079012,0.0,Right
3,HAND_3,0.572874,0.957662,-0.104408,0.0,Right
3,HAND_4,0.541645,0.894584,-0.13262,0.0,Right
3,HAND_5,0.646763,0.921542,-0.087715,0.0,Right
3,HAND_6,0.638491,0.818717,-0.127842,0.0,Right
3,HAND_7,0.632244,0.753237,-0.153744,0.0,Right
3,HAND_8,0.628665,0.695706,-0.172421,0.0,Right
3,HAND_9,0.697505,0.93133,-0.09032,0.0,Right
3,HAND_10,0.710075,0.818141,-0.129605,0.0,Right
3,HAND_11,0.715806,0.743902,-0.158176,0.0,Right
3,HAND_12,0.721385,0.675816,-0.17978,0.0,Right
3,HAND_13,0.740306,0.964239,-0.095445,0.0,Right
3,HAND_14,0.76388,0.864449,-0.136627,0.0,Right
3,HAND_15,0.773264,0.793629,-0.164775,0.0,Right
3,HAND_16,0.78073,0.728609,-0.185002,0.0,Right
3,HAND_17,0.77657,1.012807,-0.102477,0.0,Right
3,HAND_18,0.81625,0.94924,-0.14096,0.0,Right
